Subject Abbreviation,Course,Mean Grade
AAS,100,3.4480000000000004
AAS,120,3.43
AAS,200,3.47
ABE,100,3.57
ABE,224,3.71
ABE,232,3.76
ABE,430,3.63
ABE,436,3.35
ABE,488,3.0
ABE,501,3.91
ACCY,200,3.39
ACCY,201,2.8833333333333333
ACCY,202,3.49
ACCY,301,3.2325
ACCY,302,3.3840000000000003
ACCY,303,3.3266666666666667
ACCY,304,3.364
ACCY,312,3.368
ACCY,398,3.8
ACCY,405,3.3000000000000003
ACCY,410,3.374
ACCY,451,3.2840000000000003
ACCY,500,3.483333333333333
ACCY,501,3.5149999999999997
ACCY,502,3.668
ACCY,503,3.5300000000000002
ACCY,504,3.7039999999999997
ACCY,505,3.5042857142857144
ACCY,506,3.37
ACCY,510,3.6366666666666667
ACCY,515,3.4333333333333336
ACCY,517,3.825
ACCY,551,3.47
ACCY,556,3.635
ACCY,569,3.33
ACCY,570,3.7925
ACCY,578,3.9000000000000004
ACCY,593,3.79
ACE,100,3.3166666666666664
ACE,161,3.3049999999999997
ACE,199,3.6766666666666663
ACE,203,3.57
ACE,210,3.29
ACE,222,3.45
ACE,240,3.313333333333333
ACE,251,3.4
ACE,261,3.19
ACE,262,2.98
ACE,264,2.97
ACE,300,2.52
ACE,310,2.79
ACE,341,3.5925000000000002
ACE,345,3.49
ACE,346,3.38
ACE,398,2.79
ACE,406,2.87
ACE,411,3.31
ACE,427,2.83
ACE,428,2.74
ACE,435,3.77
ACE,444,3.09
ACE,445,3.09
ACE,455,3.12
ACE,474,2.37
ACE,476,2.68
ACES,101,3.6616666666666666
ACES,179,2.895
ADV,150,3.74
ADV,270,3.19
ADV,281,2.765
ADV,283,3.7525
ADV,284,3.3375000000000004
ADV,290,3.34
ADV,305,3.72
ADV,310,3.34
ADV,311,2.64
ADV,320,3.22
ADV,370,3.12
ADV,390,3.16
ADV,393,3.15
ADV,409,3.83
ADV,460,3.5125
ADV,483,3.3699999999999997
ADV,498,3.8433333333333333
AE,100,3.76
AE,140,3.505
AE,199,3.87
AE,202,3.05
AE,311,3.13
AE,321,2.72
AE,323,2.76
AE,352,3.84
AE,353,3.0
AE,402,3.61
AE,416,3.22
AE,433,3.58
AE,442,2.95
AE,460,3.44
AE,483,3.81
AE,498,3.5149999999999997
AE,598,3.7
AFRO,100,3.42
AFRO,101,2.525
AFRO,132,3.02
AFRO,226,3.61
AFRO,243,3.55
AFRO,383,3.47
AFRO,411,3.58
AGCM,220,3.57
AHS,125,3.77
AHS,199,3.68
AHS,494,3.22
AIS,101,3.805
AIS,265,3.0
ALEC,110,3.88
ALEC,451,3.84
ANSC,100,3.31
ANSC,103,3.87
ANSC,110,3.78
ANSC,205,3.6
ANSC,206,3.77
ANSC,207,3.3016666666666663
ANSC,210,3.68
ANSC,221,3.04
ANSC,222,1.85
ANSC,250,3.545
ANSC,251,2.95
ANSC,255,3.76
ANSC,256,2.2
ANSC,298,3.46
ANSC,305,3.64
ANSC,307,2.82
ANSC,309,3.84
ANSC,350,2.94
ANSC,398,3.86
ANSC,401,3.73
ANSC,422,3.395
ANSC,424,3.585
ANSC,431,3.57
ANSC,445,3.82
ANSC,452,3.17
ANSC,498,3.67
ANTH,101,3.17
ANTH,102,3.17
ANTH,103,3.715
ANTH,105,3.39
ANTH,106,3.29
ANTH,143,3.31
ANTH,160,3.17
ANTH,180,3.84
ANTH,220,3.65
ANTH,241,3.56
ANTH,246,3.6550000000000002
ANTH,262,3.86
ANTH,278,3.79
ANTH,347,3.28
ANTH,407,3.77
ANTH,498,3.18
ARAB,150,3.38
ARCH,171,3.1
ARCH,210,2.95
ARCH,231,3.2
ARCH,273,3.15
ARCH,321,3.51
ARCH,412,3.11
ARCH,417,2.89
ARCH,433,2.69
ARCH,434,3.37
ARCH,536,3.41
ARCH,577,3.4
ARTD,251,3.215
ARTD,270,3.55
ARTD,328,3.61
ARTD,426,3.84
ARTD,451,3.68
ARTF,101,3.37
ARTH,241,3.01
ARTH,250,2.83
ARTH,260,2.83
ARTJ,209,3.18
ARTJ,299,3.83
ARTJ,301,3.72
ARTS,220,3.94
ASRM,101,3.64
ASRM,210,3.42
ASRM,406,3.48
ASRM,410,3.48
ASRM,461,2.87
ASRM,469,3.75
ASRM,471,3.63
ASTR,100,2.9299999999999997
ASTR,121,3.4
ASTR,122,3.24
ASTR,150,3.36
ASTR,210,3.03
ASTR,350,3.66
ASTR,404,3.3
ASTR,406,2.98
ATMS,100,3.16
ATMS,120,3.27
ATMS,140,3.01
ATMS,305,3.91
BADM,210,3.79
BADM,211,3.44625
BADM,261,3.95
BADM,275,3.8814285714285717
BADM,300,3.7125
BADM,310,3.7199999999999998
BADM,313,3.95
BADM,314,3.56
BADM,320,3.8200000000000003
BADM,321,3.73
BADM,322,3.96
BADM,323,3.685
BADM,324,3.78
BADM,325,3.855
BADM,326,3.24
BADM,329,3.87
BADM,335,3.21
BADM,336,3.83
BADM,340,3.5300000000000002
BADM,350,3.77
BADM,351,3.8
BADM,352,3.96
BADM,353,3.77
BADM,356,3.93
BADM,365,3.76
BADM,367,3.98
